run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
467,153,63.0,9.0,1.0,64.0
468,153,63.0,9.0,3.0,63.0
469,153,63.0,9.0,1.0,69.0
470,153,63.0,11.0,-4.0,64.0
471,153,63.0,9.0,-3.0,64.0
472,153,63.0,13.0,-8.0,64.0
473,153,63.0,12.0,-1.0,65.0
474,153,63.0,11.0,-3.0,65.0
475,153,63.0,12.0,-4.0,73.0
476,153,63.0,11.0,-1.0,71.0
477,153,63.0,17.0,2.0,63.0
478,153,63.0,9.0,-1.0,67.0
479,153,63.0,10.0,-3.0,63.0
480,153,63.0,12.0,-3.0,70.0
481,153,63.0,11.0,-1.0,63.0
482,153,63.0,16.0,-3.0,68.0
483,153,63.0,9.0,-6.0,72.0
484,153,63.0,8.0,-2.0,63.0
485,153,63.0,18.0,-4.0,70.0
486,153,63.0,7.0,-5.0,64.0
487,153,63.0,13.0,-2.0,68.0
488,153,63.0,12.0,3.0,63.0
489,153,63.0,14.0,2.0,70.0
490,153,63.0,13.0,2.0,68.0
491,153,63.0,14.0,-1.0,71.0
492,153,63.0,10.0,-3.0,65.0
493,153,63.0,11.0,-6.0,64.0
494,153,63.0,18.0,-5.0,67.0
495,153,63.0,8.0,0.0,65.0
496,153,63.0,9.0,-3.0,64.0
497,153,63.0,11.0,-1.0,68.0
498,153,63.0,20.0,3.0,64.0
499,153,63.0,16.0,-9.0,63.0
500,153,63.0,9.0,-8.0,65.0
501,153,63.0,12.0,-4.0,67.0
502,153,63.0,13.0,-2.0,66.0
503,153,63.0,8.0,-7.0,67.0
504,153,63.0,10.0,-1.0,66.0
505,153,63.0,9.0,-7.0,67.0
506,153,63.0,8.0,-8.0,66.0
507,153,63.0,10.0,-2.0,64.0
508,153,63.0,9.0,-4.0,67.0
509,153,63.0,10.0,-3.0,65.0
510,153,63.0,13.0,-5.0,65.0
511,153,63.0,13.0,-5.0,63.0
512,153,63.0,9.0,-6.0,64.0
513,153,63.0,10.0,-4.0,73.0
514,153,63.0,10.0,-1.0,63.0
515,153,63.0,9.0,-3.0,66.0
516,153,63.0,10.0,-5.0,67.0
517,153,63.0,10.0,-3.0,65.0
518,153,63.0,8.0,-3.0,67.0
