run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
493,21,21.0,3.0,-3.0,23.0
494,21,21.0,5.0,5.0,21.0
495,21,21.0,4.0,-2.0,25.0
496,21,21.0,4.0,-1.0,21.0
497,21,21.0,5.0,-1.0,24.0
498,21,21.0,6.0,2.0,24.0
499,21,21.0,5.0,-3.0,24.0
500,21,21.0,5.0,5.0,22.0
501,21,21.0,3.0,-1.0,23.0
502,21,21.0,5.0,5.0,25.0
503,21,21.0,4.0,-3.0,23.0
504,21,21.0,5.0,-2.0,23.0
505,21,21.0,5.0,-1.0,24.0
506,21,21.0,3.0,-3.0,21.0
507,21,21.0,5.0,-2.0,23.0
508,21,21.0,4.0,-4.0,25.0
509,21,21.0,5.0,5.0,23.0
510,21,21.0,6.0,2.0,22.0
511,21,21.0,4.0,-4.0,21.0
512,21,21.0,9.0,-7.0,22.0
513,21,21.0,4.0,-1.0,21.0
514,21,21.0,5.0,0.0,21.0
515,21,21.0,5.0,-2.0,24.0
516,21,21.0,9.0,5.0,25.0
517,21,21.0,4.0,1.0,25.0
518,21,21.0,5.0,-3.0,22.0
519,21,21.0,3.0,-2.0,23.0
520,21,21.0,8.0,-9.0,23.0
521,21,21.0,3.0,-4.0,21.0
522,21,21.0,4.0,1.0,25.0
523,21,21.0,5.0,-1.0,21.0
524,21,21.0,7.0,5.0,24.0
525,21,21.0,7.0,-1.0,23.0
526,21,21.0,3.0,2.0,21.0
527,21,21.0,5.0,-1.0,22.0
528,21,21.0,7.0,-2.0,22.0
529,21,21.0,5.0,5.0,26.0
530,21,21.0,5.0,4.0,21.0
531,21,21.0,5.0,-3.0,21.0
532,21,21.0,7.0,-1.0,22.0
533,21,21.0,4.0,-5.0,25.0
534,21,21.0,5.0,4.0,26.0
535,21,21.0,5.0,-3.0,22.0
536,21,21.0,6.0,5.0,24.0
537,21,21.0,3.0,-4.0,22.0
538,21,21.0,4.0,-3.0,23.0
539,21,21.0,4.0,-4.0,22.0
540,21,21.0,4.0,-3.0,21.0
541,21,21.0,5.0,2.0,23.0
542,21,21.0,9.0,-2.0,21.0
543,21,21.0,4.0,-4.0,24.0
544,21,21.0,4.0,4.0,22.0
545,21,21.0,5.0,-1.0,23.0
546,21,21.0,5.0,4.0,23.0
547,21,21.0,3.0,-3.0,23.0
548,21,21.0,8.0,-1.0,21.0
549,21,21.0,4.0,-1.0,25.0
550,21,21.0,5.0,5.0,22.0
551,21,21.0,4.0,-2.0,22.0
552,21,21.0,6.0,-1.0,26.0
553,21,21.0,4.0,-3.0,21.0
554,21,21.0,6.0,1.0,21.0
555,21,21.0,4.0,-2.0,22.0
556,21,21.0,3.0,-3.0,23.0
557,21,21.0,7.0,-1.0,25.0
558,21,21.0,5.0,-3.0,26.0
559,21,21.0,6.0,-1.0,22.0
560,21,21.0,3.0,-4.0,21.0
561,21,21.0,6.0,-1.0,24.0
562,21,21.0,5.0,-2.0,23.0
563,21,21.0,5.0,5.0,22.0
564,21,21.0,4.0,5.0,21.0
565,21,21.0,4.0,-2.0,23.0
566,21,21.0,5.0,-3.0,22.0
567,21,21.0,5.0,5.0,26.0
568,21,21.0,5.0,5.0,26.0
569,21,21.0,3.0,-2.0,23.0
570,21,21.0,5.0,0.0,21.0
571,21,21.0,8.0,-3.0,24.0
572,21,21.0,6.0,-2.0,21.0
573,21,21.0,5.0,-6.0,23.0
574,21,21.0,5.0,-2.0,21.0
